Store,Dept,Date,Weekly_sales,Isholiday,Type,Size,Temperature,Fuel_price,Cpi,Unemployment,Month,Day,Year
24,5,2010-02-12,37203.4,1,A,203819,25.94,2.94,131.5866129,8.326,February,12,2010
23,46,2010-02-12,34803.69,1,B,114533,18.75,2.771,131.5866129,5.892,February,12,2010
20,94,2010-03-05,55829.57,0,A,203742,31.75,2.777,204.4940734,8.187,March,5,2010
38,16,2010-03-12,740.85,0,C,39690,50.11,2.925,126.6042857,13.975,March,12,2010
7,28,2010-03-26,238.54,0,B,70713,23.33,2.717,189.7195417,9.014,March,26,2010
31,4,2010-04-02,31320.61,0,A,203750,64.12,2.719,210.4798874,8.2,April,2,2010
29,34,2010-04-09,18403.5,0,B,93638,57.06,2.849,131.9408065,10.16,April,9,2010
5,58,2010-04-16,445.0,0,B,34875,65.3,2.808,211.0388528,6.465,April,16,2010
22,33,2010-04-16,7074.0,0,B,119557,51.14,2.885,135.82725,8.348,April,16,2010
16,24,2010-04-23,910.64,0,B,57197,44.9,2.776,189.6190057,6.842,April,23,2010
22,25,2010-04-30,9600.98,0,B,119557,50.96,2.935,135.9170833,8.348,April,30,2010
42,92,2010-05-07,89639.63,0,C,39690,71.06,3.127,126.2898,9.524,May,7,2010
34,5,2010-05-14,14600.48,0,A,158114,60.74,2.845,126.2085484,9.593,May,14,2010
1,32,2010-05-21,6472.63,0,A,151315,76.44,2.826,210.6170934,7.808,May,21,2010
33,94,2010-06-04,38756.1,0,A,39690,86.06,2.941,126.1360645,9.849,June,4,2010
10,87,2010-06-04,19530.92,0,B,126512,82.82,2.941,126.1360645,9.524,June,4,2010
45,29,2010-06-18,4213.0,0,B,118221,72.62,2.78,182.4424199,8.899,June,18,2010
14,42,2010-06-25,8577.76,0,A,200898,79.32,2.808,182.3806,8.899,June,25,2010
2,24,2010-06-25,6341.13,0,A,202307,86.26,2.653,210.9950134,8.2,June,25,2010
13,79,2010-07-09,55230.92,0,A,219622,71.33,2.802,126.1518,7.951,July,9,2010
23,24,2010-07-30,8872.94,0,B,114533,69.71,2.792,132.5983871,5.326,July,30,2010
37,3,2010-08-06,935.8,0,C,39910,85.49,2.627,210.2614925,8.36,August,6,2010
16,16,2010-08-27,6947.14,0,B,57197,65.66,2.731,190.3284922,6.868,August,27,2010
43,6,2010-09-17,39.48,0,C,41062,78.86,2.582,203.4499286,9.816,September,17,2010
33,20,2010-09-17,53.0,0,A,39690,89.43,3.028,126.1454667,9.495,September,17,2010
7,91,2010-10-01,8274.46,0,B,70713,49.99,2.759,190.6738241,9.137,October,1,2010
5,71,2010-10-08,539.28,0,B,34875,64.99,2.633,212.3019522,6.768,October,8,2010
14,13,2010-10-22,61742.38,0,A,200898,53.15,2.917,182.8558685,8.724,October,22,2010
31,67,2010-10-29,5832.22,0,A,203750,67.51,2.716,211.5661131,8.163,October,29,2010
10,13,2010-10-29,60782.29,0,B,126512,68.76,3.13,126.4364194,9.003,October,29,2010
15,28,2010-11-19,971.74,0,B,123737,44.1,3.138,132.9172,8.067,November,19,2010
12,95,2010-11-26,36846.78,1,B,112238,47.66,3.162,126.6692667,14.313,November,26,2010
41,32,2010-11-26,5733.58,1,A,196321,25.3,2.742,191.0121805,7.508,November,26,2010
